subject,mission,mode,HR,HRV,nav,tank,space,trees,nbAOI1,nbAOI2,nbAOI3,nbAOI4,nbAOI5,durAOI1,durAOI2,durAOI3,durAOI4,durAOI5,tank_local_score,HRnorm,label
19.0,1.0,0.0,72.5689404934688,-0.06681929317063831,14.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,13.0,0.0,0.0,396.01199999999994,4315.727,2627.351,0.0,6.1852028578527865,1.0
19.0,1.0,0.0,74.22986514907831,-0.08744584001096647,18.0,2.0,0.0,0.0,0.0,5.0,5.0,14.0,8.0,0.0,799.8299999999998,616.039,5164.16,1296.772,-2.221999999999994,7.846127513462293,1.0
19.0,1.0,1.0,73.30482590103848,-0.07072372492548372,9.0,5.0,0.0,0.0,0.0,17.0,3.0,6.0,2.0,0.0,4567.621000000001,323.665,1076.0,411.97,-8.444999999999997,6.921088265422468,1.0
19.0,1.0,1.0,69.96268656716418,-0.05069714321672311,0.0,8.0,0.0,0.0,0.0,22.0,5.0,2.0,0.0,0.0,8334.85,507.983,404.02,0.0,4.554999999999996,3.578948931548169,1.0
19.0,1.0,1.0,70.7714083510262,-0.07695031796693087,0.0,7.0,0.0,1.0,0.0,18.0,1.0,0.0,4.0,0.0,6839.057,288.02,0.0,1471.901,19.032000000000004,4.387670715410167,1.0
19.0,1.0,0.0,69.75933031042904,-0.06657437549156511,15.0,4.0,1.0,1.0,0.0,13.0,11.0,8.0,4.0,0.0,3007.859000000001,1687.89,1707.651,891.809,11.428999999999988,3.3755926748130207,1.0
19.0,1.0,0.0,72.42877836793821,-0.0772975712248713,42.0,0.0,0.0,0.0,0.0,5.0,19.0,8.0,4.0,0.0,1063.84,5563.901999999999,2023.86,691.9989999999999,0.0,6.045040732322192,1.0
19.0,1.0,1.0,74.25742574257426,-0.08377857719059477,9.0,4.0,0.0,1.0,0.0,22.0,12.0,0.0,3.0,0.0,4855.479,3651.68,0.0,672.0,-14.000000000000007,7.873688106958242,1.0
19.0,1.0,0.0,74.72910698717149,-0.08545386793311456,17.0,5.0,0.0,0.0,0.0,13.0,7.0,8.0,3.0,0.0,4007.5240000000003,1543.9260000000002,2159.95,423.74699999999996,2.302,8.34536935155549,1.0
19.0,1.0,1.0,73.28691828508613,-0.04362353834964333,2.0,3.0,0.0,0.0,0.0,21.0,3.0,7.0,4.0,0.0,4391.527,1771.76,1244.02,840.02,-31.888800000000003,6.9031806494701025,1.0
19.0,1.0,0.0,70.56333058920383,-0.052927153496923486,23.0,1.0,1.0,1.0,0.0,8.0,8.0,15.0,7.0,0.0,1543.92,2539.65,3115.716,831.937,0.0,4.179592953587815,1.0
19.0,1.0,1.0,67.68613687641013,-0.04330336886164207,8.0,4.0,0.0,0.0,0.0,20.0,0.0,4.0,2.0,0.0,6688.873000000001,0.0,1687.8,168.03799999999998,0.0,1.3023992407941165,1.0
19.0,1.0,0.0,73.78258730939498,-0.08953893912449601,7.0,5.0,0.0,0.0,0.0,22.0,5.0,6.0,0.0,0.0,6735.385,647.972,1295.88,0.0,13.055600000000002,7.398849673778969,1.0
19.0,1.0,0.0,74.69189592929169,-0.08291499204801664,27.0,0.0,1.0,0.0,0.0,1.0,25.0,7.0,2.0,0.0,84.00399999999999,4875.332,1631.93,348.01,-7.055,8.30815829367566,1.0
19.0,1.0,1.0,72.27174174897615,-0.08526204094422163,5.0,0.0,4.0,0.0,0.0,6.0,5.0,5.0,5.0,0.0,1515.92,556.007,1715.88,912.14,-8.8885,5.88800411336014,1.0
19.0,1.0,1.0,72.38508867173363,0.02611011174603281,0.0,9.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,8227.034,0.0,0.0,0.0,-0.7777999999999998,6.001351036117613,1.0
19.0,1.0,0.0,67.12911165808906,0.04265962832425865,18.0,2.0,1.0,1.0,0.0,7.0,16.0,4.0,3.0,0.0,3751.61,3387.5639999999994,1188.34,507.99,10.715,0.7453740224730439,1.0
19.0,1.0,0.0,72.08073041806824,-0.06950905322119946,39.0,0.0,1.0,1.0,0.0,0.0,16.0,0.0,13.0,0.0,0.0,2599.427,0.0,2680.641,-4.556000000000001,5.696992782452212,1.0
19.0,1.0,0.0,71.71029042667621,-0.08106425763365634,32.0,0.0,0.0,0.0,0.0,1.0,22.0,2.0,8.0,0.0,171.99,4315.593,455.9,1583.9660000000001,-10.0005,5.326552791060209,1.0
19.0,1.0,1.0,75.046904315197,-0.08448028394160885,3.0,5.0,0.0,0.0,0.0,13.0,2.0,6.0,9.0,0.0,3430.2700000000004,179.861,1727.7,1584.6689999999999,-3.16667,8.663166679580982,1.0
19.0,1.0,1.0,74.55268389662027,-0.09464955861940744,0.0,10.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,9126.517,0.0,0.0,0.0,14.82559,8.168946261004251,1.0
19.0,1.0,0.0,76.75578866572853,-0.09082083394967516,17.0,1.0,0.0,0.0,0.0,4.0,22.0,7.0,5.0,0.0,1603.83,3255.9790000000003,1627.625,895.98,16.667,10.372051030112516,1.0
19.0,1.0,1.0,77.43933918430562,-0.08936095697859964,8.0,7.0,0.0,1.0,0.0,18.0,6.0,0.0,4.0,0.0,6280.273,1023.954,0.0,711.98,7.205999999999997,11.055601548689609,1.0
19.0,1.0,0.0,76.55990812811025,-0.07077647223694432,27.0,1.0,1.0,1.0,0.0,6.0,12.0,10.0,7.0,0.0,2059.37,2031.876,2043.73,957.133,0.20600000000000307,10.176170492494236,1.0
19.0,1.0,0.0,73.67387033398823,-0.07077613099499783,17.0,2.0,0.0,0.0,0.0,15.0,16.0,0.0,0.0,0.0,3699.632,4067.683,0.0,0.0,-44.8336,7.290132698372219,1.0
19.0,1.0,1.0,77.49935417204856,-0.098942246201899,0.0,5.0,0.0,0.0,0.0,27.0,0.0,2.0,0.0,0.0,7815.277999999998,0.0,376.0,0.0,8.07939,11.115616536432556,1.0
19.0,1.0,1.0,72.72727272727273,-0.025763725207275517,0.0,5.0,0.0,1.0,0.0,35.0,0.0,3.0,3.0,0.0,7630.666999999998,0.0,439.98900000000003,587.93,29.286,6.343535091656718,1.0
19.0,1.0,0.0,72.12405337179949,-0.05917539523188176,27.0,2.0,1.0,1.0,0.0,4.0,17.0,9.0,4.0,0.0,735.98,3566.8340000000003,1991.911,1195.77,2.0949999999999993,5.740315736183477,1.0
19.0,1.0,1.0,76.74597083653107,-0.07959138528981086,4.0,6.0,0.0,1.0,0.0,20.0,6.0,0.0,4.0,0.0,7507.045999999999,791.94,0.0,632.028,-1.4439999999999955,10.362233200915057,1.0
19.0,1.0,0.0,80.37018996590353,-0.09703200326513073,28.0,0.0,0.0,0.0,0.0,16.0,11.0,8.0,2.0,0.0,3719.618,2336.509,2299.9300000000007,384.05,8.119000000000009,13.986452330287518,1.0
19.0,1.0,1.0,73.29587099926704,-0.07153801283414933,8.0,10.0,0.0,0.0,0.0,24.0,6.0,0.0,2.0,0.0,6999.662999999999,535.798,0.0,383.98,-5.889000000000002,6.912133363651023,1.0
19.0,1.0,1.0,79.29166116030129,-0.09389087830846612,1.0,9.0,0.0,1.0,0.0,25.0,2.0,1.0,0.0,0.0,8596.046999999999,211.985,367.88,0.0,18.578999999999983,12.907923524685287,1.0
19.0,1.0,0.0,79.53340402969245,-0.0819883069907123,23.0,3.0,0.0,0.0,0.0,9.0,4.0,9.0,5.0,0.0,3283.5999999999995,591.9449999999998,3507.65,1029.939,13.142999999999999,13.149666394076448,1.0
19.0,1.0,0.0,77.76049766718508,-0.07468041802247337,35.0,0.0,0.0,0.0,0.0,3.0,18.0,3.0,11.0,0.0,320.05400000000003,4535.593,495.87,2619.6800000000007,-85.0002,11.376760031569063,1.0
19.0,1.0,1.0,75.50623498455555,-0.0833725135132529,10.0,4.0,2.0,1.0,0.0,18.0,6.0,1.0,5.0,0.0,4814.950000000002,1859.86,144.0,1219.77,0.0,9.122497348939532,1.0
19.0,1.0,0.0,76.90335811330428,-0.06560335140747889,26.0,4.0,0.0,0.0,0.0,10.0,13.0,7.0,9.0,0.0,1504.5700000000004,2279.67,1500.41,2131.94,0.0,10.519620477688264,1.0
